lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-32,66;5,56;15;190;67;-70;327;30;-129;2980175;ISC
-38,92;8,09;15;262;90;-180;352;90;0;2899465;ISC
-73,9;6,59;15;207;38;136;334;65;61;3004609;ISC
-37,49;8,19;15;251;90;-180;341;90;0;3171901;ISC
58,17;8,56;15;171;43;-57;309;55;-117;3208875;ISC
-36,36;7,42;15;0;90;0;270;90;-180;3236367;ISC
-36,43;7,65;15;6;20;-79;174;71;-94;7056660;ISC
-34,23;7,01;15;23;55;-123;252;46;-52;7071523;ISC
-37,73;7,79;15;182;85;-18;274;72;-175;7235435;ISC
-34,08;7,17;15;262;90;178;352;88;0;601869850;ISC
-34,02;7,27;15;180;80;-1;270;89;-170;601869850;ISC
-38,59;8,21;15;6;86;16;275;74;176;603746149;ISC
-36,954;7,532;15;185,58;81,11;-25,85;279,86;64,48;-170,15;616223610;ISC
-35,41;7,46;15;91;83;174;182;84;7;616779595;ISC
-37,01;8,09;15;5;82;8;274;83;172;625695671;ISC
-36,9;7,81;15;184;85;-8;274;82;-175;625717036;ISC
-37,1495;7,5804;15;20,33;84,28;0,74;290,26;89,26;174,28;637132920;ISC
-34,29;7,28;15,1;90;84;175;181;85;6;625920795;ISC
-74,849;6,965;15,2;82;90;26;      ;     ;       ;610740026;ISC
-38,54;8,18;15,3;183;89;-14;273;76;-179;13393977;ISC
-38,5;8,22;15,3;183;89;-3;273;87;-179;619639370;ISC
-74,1;6,541;15,4;118;78;78;      ;     ;       ;609350580;ISC
-36,31;7,58;15,7;183;81;0;273;90;-171;611943933;ISC
-34,1;7,23;15,8;176;74;-7;268;83;-164;612518617;ISC
-37,19;7,73;15,9;4;81;5;273;85;171;601564324;ISC
-36,32;7,441;16;0,58;83,96;-21,61;92,97;68,51;-173,51;611943933;ISC
-37,09;7,77;16;182;84;-8;273;82;-174;616223610;ISC
-39,115;8,059;16;190,83;87,82;-20,75;281,65;69,27;-177,67;618367849;ISC
60,337;6,33;16;150,73;48,29;-74,46;308,05;44,01;-106,73;619024250;ISC
-38,083;7,996;16;12,63;46,06;-88,92;191,08;43,95;-91,12;637116640;ISC
-37;7,76;16,7;1;79;0;91;90;-169;13395860;ISC
61,26;5,72;16,8;131;44;-77;294;48;-102;622022448;ISC
-35,73;7,44;16,8;3;88;-1;93;89;-178;642068930;ISC
-37,155;7,608;17;89,86;78,91;162,7;183,29;73,03;11,6;618985510;ISC
-38,66;8,2;17,1;3;72;4;272;86;162;13228575;ISC
-36,59;7,55;17,1;177;78;-41;277;50;-164;625324208;ISC
-35,77;7,41;17,3;182;84;-4;272;86;-174;602031619;ISC
-34,72;7,46;17,3;176;76;-10;268;81;-166;619513157;ISC
-37,08;7,78;17,6;182;82;-17;274;73;-172;616969924;ISC
-35,85;7,42;17,7;2;66;2;271;88;156;11341775;ISC
61,32;5,65;17,7;119;45;-99;312;45;-81;606623145;ISC
-34,24;7,22;17,8;90;85;-169;359;79;-5;10611356;ISC
-37,09;7,79;17,9;184;83;-5;274;85;-173;637132920;ISC
-37,35;7,74;18;167;52;-24;272;71;-140;604453078;ISC
61,31;5,68;18;121;47;-91;302;43;-89;606622693;ISC
-38,103;8,092;18;11,43;38,36;-84,75;184,75;51,83;-94,14;637116639;ISC
-39,07;8,23;18,1;3;78;13;271;77;168;12809871;ISC
-72,38;5,06;18,1;38;49;84;227;41;97;14742262;ISC
-34,38;7,25;18,2;1;80;-5;91;85;-170;15049439;ISC
-34,55;7,24;18,2;89;81;-158;355;69;-9;603388203;ISC
61,42;5,61;18,2;119;43;-95;306;48;-85;606622851;ISC
-33,07;5,79;18,3;171;65;-77;322;28;-116;609350372;ISC
-37,14;7,8;18,3;183;81;-4;273;86;-171;619061761;ISC
-39,04;8,25;18,5;184;86;-14;275;76;-176;618367849;ISC
-37,04;7,84;18,5;94;89;167;184;77;1;619093533;ISC
60,25;6,65;18,5;115;38;-88;292;52;-91;621007256;ISC
-36,76;7,86;18,5;89;79;156;183;67;11;625676376;ISC
-34,32;7,23;18,6;0;79;-3;91;87;-169;15628510;ISC
40,04;9,17;18,6;20;47;-82;188;44;-99;642665477;ISC
-36,98;7,77;18,7;1;85;0;271;90;175;10697652;ISC
-32,86;5,85;18,7;193;52;-61;332;46;-121;642297968;ISC
